pair_id,viewpoint_1,viewpoint_2,precision,recall,F1,mAP50,mAP50-95,delta_mAP50-95_vs_full_M4
p0569,ellow-radmid-az000,elmid-radmid-az225,0.7252476613685452,0.7718588894572121,0.74782767355684,0.7252476613685452,0.4957698038530213,nan
p0692,ellow-radmid-az090,elmid-radmid-az225,0.7218653211778473,0.7682199268030574,0.7443216083755468,0.7218653211778473,0.49509965121440075,nan
p1196,ellow-radfar-az135,elmid-radmid-az225,0.725773324043417,0.7718700223417365,0.7481122567620443,0.725773324043417,0.4947533910926863,nan
p1092,ellow-radfar-az045,elmid-radmid-az270,0.7234849433267172,0.7704126358605697,0.7462117215518872,0.7234849433267172,0.49405858130707453,nan
p0107,ellow-radnear-az045,elmid-radmid-az225,0.7199714798060118,0.7701780034035534,0.7442289556483559,0.7199714798060118,0.4935459215385386,nan
p0752,ellow-radmid-az135,elmid-radmid-az225,0.7208455324874136,0.7641333132545065,0.7418584940300836,0.7208455324874136,0.493520769959892,nan
p0502,ellow-radnear-az315,elmid-radmid-az045,0.7193421068182684,0.7653065168710741,0.7416127875965121,0.7193421068182684,0.4933872551586506,nan
p1145,ellow-radfar-az090,elmid-radmid-az270,0.7198924848929047,0.7653616245831859,0.7419310651928948,0.7198924848929047,0.49240799704043575,nan
p0839,ellow-radmid-az180,elhigh-radfar-az045,0.7218832309393954,0.7692811014017287,0.7448288762495119,0.7218832309393954,0.492081240087054,nan
p1091,ellow-radfar-az045,elmid-radmid-az225,0.7245066731737964,0.7737148063938601,0.7483026348380554,0.7245066731737964,0.49167719545924715,nan
p0811,ellow-radmid-az180,elmid-radmid-az225,0.7225106845970621,0.7697579828588197,0.7453863761912992,0.7225106845970621,0.49126334821721623,nan
p0038,ellow-radnear-az000,elmid-radmid-az270,0.7215014215786884,0.7689136986528562,0.7444534333000806,0.7215014215786884,0.4912164905084619,nan
p0034,ellow-radnear-az000,elmid-radmid-az090,0.7171472162247912,0.7627207674570935,0.7392322574312432,0.7171472162247912,0.4910923165554361,nan
p0688,ellow-radmid-az090,elmid-radmid-az045,0.7185916577706015,0.7642574956949592,0.7407214139233806,0.7185916577706015,0.49095038099200594,nan
p0865,ellow-radmid-az225,elmid-radmid-az045,0.7204200394398049,0.7720371138645941,0.745335980718616,0.7204200394398049,0.48994135855210424,nan
p0808,ellow-radmid-az180,elmid-radmid-az090,0.710777398382332,0.7559170646593523,0.7326526119109149,0.710777398382332,0.4896106607988433,nan
p1144,ellow-radfar-az090,elmid-radmid-az225,0.720097146130735,0.769032675504452,0.7437608553214593,0.720097146130735,0.48942576896430345,nan
p0244,ellow-radnear-az135,elmid-radmid-az225,0.7183837006070456,0.7673608449872794,0.7420650140127519,0.7183837006070456,0.4893344954555174,nan
p0807,ellow-radmid-az180,elmid-radmid-az045,0.7182470095626904,0.7655954453265121,0.7411657987392513,0.7182470095626904,0.4893049712273121,nan
p0033,ellow-radnear-az000,elmid-radmid-az045,0.7119009851213886,0.7592254917400254,0.7348020499938448,0.7119009851213886,0.4892212449668552,nan
p0810,ellow-radmid-az180,elmid-radmid-az180,0.7100024534097431,0.7580627834374684,0.7332459383550366,0.7100024534097431,0.48921879116018274,nan
p0069,ellow-radnear-az000,elhigh-radfar-az225,0.7156699787577909,0.7675276877957653,0.7406922710405672,0.7156699787577909,0.48919904446075463,nan
p1037,ellow-radfar-az000,elmid-radmid-az225,0.7205214864716061,0.7716009816628004,0.7451869375919784,0.7205214864716061,0.48913581011002,nan
p0724,ellow-radmid-az090,elhigh-radfar-az225,0.7120188507768968,0.7625162944004207,0.7364028960765895,0.7120188507768968,0.489075739643983,nan
p1090,ellow-radfar-az045,elmid-radmid-az180,0.7201461192692425,0.771829077789203,0.7450924334465048,0.7201461192692425,0.4890704185056009,nan
