viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
ellow-radnear-az000,0.829669,0.980219,0.938508,0.908189,0.983071,0.961693,0.968672,0.797279,0.891432,0.862480,0.941137,0.857526,0.801406,0.866292,0.807140,0.935968,0.896885,0.677585,0.833930,0.810634,0.839005,0.875662,0.605851,0.898855,0.946792,0.838049,0.866184,0.968125,0.926624,0.753322,0.955295,0.987679,0.946363,0.814870,0.776071,0.980493,0.961201,0.871089,0.950291,0.975159,0.969417,0.925656,0.826734,0.888893,0.799404,0.963302,0.965938,0.963226,0.973203,0.953767,0.909960,0.955654,0.837240,0.916310,0.987567,0.957872,0.931399,0.905749,0.756754,0.803201,0.832857,0.843987,0.808610,0.971404,0.937680,0.960579,0.839644,0.872173,0.972874,0.966706,0.969322,0.951951
ellow-radnear-az045,0.980219,0.897122,0.966663,0.981795,0.868677,,0.858929,0.925380,0.795221,0.840640,0.864306,0.877244,0.940865,0.973366,0.956089,0.974996,0.895817,0.925862,0.982610,0.599930,0.933782,0.936470,0.975876,0.937030,0.973815,0.968819,0.933205,0.968190,0.885004,0.985947,0.952265,0.896797,0.952442,0.921841,0.926306,0.965223,0.942705,0.949358,0.883572,0.939114,0.864563,0.956164,0.934243,0.949199,0.948941,0.955050,0.976280,0.978602,0.972000,0.932227,0.929052,0.924231,0.944143,0.972359,0.828920,0.978420,0.954927,0.976713,0.918613,0.946469,0.765865,0.948173,0.942919,0.976735,0.952789,0.954446,0.981843,0.977067,0.936205,0.843807,0.973245,0.980682
ellow-radnear-az090,0.938508,0.966663,0.909445,0.948154,0.972499,0.946311,0.975026,0.927544,0.860029,0.906953,0.941480,0.910874,0.972154,0.934972,0.959478,0.976417,0.834177,0.830678,0.818104,0.896868,0.954561,0.976723,0.858086,0.958687,0.984771,0.972845,0.967849,0.979980,0.961598,0.983272,0.944889,0.940531,0.946843,0.956871,0.892356,0.900688,0.971901,0.977581,0.940079,0.946404,0.978627,0.926272,0.879238,0.931885,0.944504,0.970613,0.939941,0.978320,0.963569,0.987124,0.889720,0.938305,0.952431,0.935600,0.963580,0.889322,0.960686,0.935931,0.953048,0.937997,0.952950,0.946939,0.962034,0.919451,0.977997,0.976343,0.920860,0.905957,0.944654,0.944855,0.925319,0.982327
ellow-radnear-az135,0.908189,0.981795,0.948154,0.925143,0.984965,0.977932,0.955595,0.918120,0.973808,0.884791,0.943175,0.829663,0.985774,,0.954298,0.925765,0.946776,0.874223,0.868651,0.948185,0.967576,0.970000,0.975660,0.866143,0.986213,0.959000,0.982443,0.941270,0.952594,0.987539,0.950197,0.983685,0.933417,0.972947,0.942007,0.919046,0.963414,0.975439,0.976035,0.971580,0.973392,0.950489,0.955944,0.974826,0.972686,0.957579,0.932675,0.976415,0.984920,0.959316,0.902860,0.932946,0.950689,0.978933,0.980290,0.904074,0.960906,0.926174,0.930714,0.992311,0.957325,0.941544,0.958817,0.909120,0.968342,0.978680,0.946518,0.961838,0.937422,0.980892,0.949792,0.976771
ellow-radnear-az180,0.983071,0.868677,0.972499,0.984965,0.873443,0.972806,0.970665,0.909155,0.963713,0.875509,0.954065,0.969493,0.940273,0.967052,0.956668,0.890773,0.959560,0.974667,0.946833,0.821043,0.959829,0.960184,0.875276,0.987572,0.944787,0.984352,0.920608,0.966978,0.969898,0.886166,0.964487,0.837270,0.896216,0.956504,0.978218,0.959044,0.891381,0.973382,0.956892,0.892853,0.970950,0.957494,0.959858,0.968475,0.910973,0.962219,0.980370,0.838498,0.969259,0.870727,0.885178,0.948324,0.981443,0.876108,0.951956,0.975989,0.944891,0.962851,0.844363,0.828364,0.852109,0.920231,0.939981,0.968881,0.931351,0.969367,0.957405,0.974351,0.837742,0.957683,0.938239,0.973486
ellow-radnear-az225,0.961693,,0.946311,0.977932,0.972806,0.942270,0.974714,0.969121,0.963127,0.961359,0.899840,0.970402,0.965300,0.969228,0.974956,0.963546,0.879330,0.971953,0.972153,0.929463,0.969405,0.914154,0.961474,0.840679,0.967006,0.979322,0.952093,0.964465,0.948413,0.950810,0.977511,0.964977,0.959884,0.979470,0.979420,0.971098,0.944729,0.955945,0.964405,0.934311,0.980453,0.898286,,0.949303,0.980784,0.950812,0.935480,0.981680,0.964556,0.964581,0.952957,0.938943,0.978435,0.963330,0.971708,0.974576,0.963225,0.949981,0.943346,0.929149,0.969096,0.981640,0.904704,0.975024,0.925337,0.929130,0.973731,0.941015,0.959668,0.951271,0.975602,0.976083
ellow-radnear-az270,0.968672,0.858929,0.975026,0.955595,0.970665,0.974714,0.890660,0.980646,0.980657,0.911425,0.961484,0.965357,0.959852,0.905573,0.982208,0.980878,0.841523,0.969135,0.978484,0.908546,0.935363,0.944957,0.832421,0.981453,0.987950,0.956465,0.917999,0.978074,0.915500,0.989086,0.956791,0.959639,0.833265,0.965607,0.795515,0.788031,0.956940,0.986664,0.910169,0.952863,0.965684,0.912202,0.941339,0.877903,0.713641,0.894200,0.950677,0.980878,0.977639,,0.941095,0.897138,0.973210,0.840964,0.937286,0.934361,0.977156,0.838105,0.981531,0.911506,0.961737,0.877859,0.889380,0.980427,0.851348,0.953785,0.906170,0.980734,0.777265,0.809035,0.955308,0.965869
ellow-radnear-az315,0.797279,0.925380,0.927544,0.918120,0.909155,0.969121,0.980646,0.859648,0.903743,0.930926,0.861738,0.973547,0.951012,0.931447,0.807517,0.955008,0.925280,0.943702,0.922147,0.871350,0.806863,0.983739,0.959403,0.856979,0.946054,0.941268,0.911223,0.902693,0.908579,0.913446,0.982430,0.979330,0.815307,0.924840,0.907380,0.868916,0.909375,0.979590,0.978943,0.909969,0.979917,0.878765,0.931004,0.910192,0.929097,0.961384,0.921765,0.977269,0.966524,0.974742,0.927078,0.905756,0.946597,0.948847,0.928737,0.921357,0.923480,0.890348,0.983080,0.960945,0.957789,0.844115,0.863679,0.925116,0.898280,0.956005,0.936621,0.976195,0.947118,0.976801,0.949688,0.974858
ellow-radmid-az000,0.891432,0.795221,0.860029,0.973808,0.963713,0.963127,0.980657,0.903743,0.836900,0.839207,0.849974,0.826040,,0.730851,0.975618,0.983795,0.853177,0.876657,0.972961,0.849381,0.797382,0.814548,0.787038,0.923162,0.981678,0.980484,0.931454,0.973198,0.941943,0.828867,0.948230,0.952611,0.884034,0.909595,0.943511,0.973125,0.469515,0.847121,0.949649,0.949762,0.898756,0.881245,0.868363,0.880120,0.914876,0.940705,0.802452,0.915604,0.818998,0.802960,0.970202,0.753605,0.953979,0.846049,0.797499,0.978550,0.937004,0.884232,0.809226,0.921901,0.891294,0.928962,0.925407,0.908328,0.960113,0.941425,0.946124,0.948561,0.802330,0.933690,0.816046,0.966379
ellow-radmid-az045,0.862480,0.840640,0.906953,0.884791,0.875509,0.961359,0.911425,0.930926,0.839207,0.836402,0.865913,0.947542,0.974396,0.859948,0.852222,0.924002,0.908282,0.749373,0.794656,0.767155,0.787214,0.695705,0.775272,0.976342,0.948845,0.871162,0.876213,0.953069,0.844151,0.911838,0.934704,0.890980,0.934300,0.809172,0.941711,0.887770,0.949612,0.929200,0.867510,0.916784,0.853735,0.960592,0.854723,0.875645,0.917066,0.955334,0.976336,0.909968,0.978063,0.976276,0.917319,0.956126,0.977156,0.941496,0.939074,0.877603,0.909370,0.919592,0.891439,0.927613,0.885073,0.943532,0.913201,0.974969,0.958164,0.903008,0.880317,0.889766,0.955346,0.788239,0.921766,0.946577
ellow-radmid-az090,0.941137,0.864306,0.941480,0.943175,0.954065,0.899840,0.961484,0.861738,0.849974,0.865913,0.841288,0.916526,0.968069,0.921512,0.971075,0.939865,0.730684,0.993057,0.892943,0.758927,0.369496,0.656889,0.831601,0.948200,0.950744,0.882527,0.941821,0.958083,0.939473,0.982762,0.880612,0.975246,0.841425,0.973939,0.974777,0.933169,0.815297,0.942058,0.972230,0.976599,0.957069,0.922791,0.812718,0.929429,,0.883928,0.838397,0.972089,0.953403,0.919532,0.601759,0.848927,0.927970,0.927969,0.934279,0.878257,0.904037,0.961918,0.927569,0.932276,0.969233,0.863153,0.972106,0.851069,0.938395,0.878144,0.931926,0.981631,0.966493,0.980661,0.975536,0.916831
ellow-radmid-az135,0.857526,0.877244,0.910874,0.829663,0.969493,0.970402,0.965357,0.973547,0.826040,0.947542,0.916526,0.822639,0.972246,0.793286,0.869257,0.857253,0.889896,0.750184,0.826489,0.697467,0.977687,0.988398,0.801550,0.856375,0.981401,0.940529,0.929540,0.909899,0.850721,0.953364,0.975621,0.913776,0.868433,0.872290,0.891827,0.716163,0.964067,0.974202,0.945427,0.977911,0.972131,0.936256,0.929688,0.882515,0.798335,0.830356,0.972311,0.973919,0.966932,0.707014,0.797071,0.955227,0.830334,0.827880,0.906993,0.938780,0.887388,0.923768,0.908067,0.941422,0.808068,0.934409,0.968676,0.949624,0.704291,0.968899,0.978244,0.966152,0.837655,0.982280,0.942787,0.804357
ellow-radmid-az180,0.801406,0.940865,0.972154,0.985774,0.940273,0.965300,0.959852,0.951012,,0.974396,0.968069,0.972246,0.861609,0.978545,0.978508,0.969592,0.975793,0.949218,0.974926,0.933148,0.921703,0.567790,0.730296,0.646714,0.979616,0.863736,0.805858,0.972678,0.930993,0.819242,0.973892,0.929307,0.972875,0.955676,0.881682,,0.962172,0.769629,0.962748,0.937527,0.935055,0.774431,0.717804,0.985914,0.899759,0.852205,0.911687,0.977945,0.970877,0.889733,0.955985,0.940781,0.981997,0.962986,,0.761171,0.928842,0.931935,0.986835,0.835214,0.977882,0.972591,0.889251,0.965967,0.887076,0.940711,0.973272,0.972796,0.955123,0.960569,0.977802,0.978140
ellow-radmid-az225,0.866292,0.973366,0.934972,,0.967052,0.969228,0.905573,0.931447,0.730851,0.859948,0.921512,0.793286,0.978545,0.825530,0.953425,0.973484,0.794474,0.699382,0.911229,0.929725,0.858682,0.969933,0.663160,0.987684,0.717342,0.936489,0.897291,0.966580,0.864387,0.980234,0.755116,0.877115,0.786811,0.940591,0.970844,0.932963,0.962979,0.973097,0.791344,0.875308,0.970602,0.958947,0.811588,0.858015,0.759898,0.941814,0.958226,0.823316,0.871222,0.936739,0.899229,0.970612,0.983252,0.938882,0.843463,0.869666,0.762243,0.932127,0.764842,0.944371,0.973507,0.943661,0.338355,0.976318,0.913821,0.805633,0.724581,0.918270,0.970424,0.915380,0.964304,0.950062
ellow-radmid-az270,0.807140,0.956089,0.959478,0.954298,0.956668,0.974956,0.982208,0.807517,0.975618,0.852222,0.971075,0.869257,0.978508,0.953425,0.880457,0.971131,0.946401,0.452531,0.869169,0.859683,0.778706,0.981589,0.968192,0.825968,0.981252,0.937208,0.948988,0.951800,0.974662,0.718888,0.947441,0.981848,0.909305,0.942699,0.980874,0.933268,0.919405,0.637307,0.973386,0.911162,0.968797,0.932306,0.967450,0.943801,0.971184,0.942252,0.929188,0.986624,0.968577,0.928840,0.963531,0.922772,0.863899,0.971743,0.959685,0.970160,0.969347,0.947941,0.744116,0.836318,0.952068,0.971457,0.967412,0.978670,0.963271,0.969478,0.930090,0.739827,0.931199,0.975934,0.962856,0.975979
